"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 13 06:38:48 GMT 2021","Wed Oct 13 06:38:50 GMT 2021","1296","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Wed Oct 13 06:39:24 GMT 2021","Wed Oct 13 06:39:27 GMT 2021","3683","","specs.sauce-labs/main.page/filtration.on.letters.fromZ.toA.test.ts","","","","items are in order from z to a after filtration from z to a",""
"passed","Wed Oct 13 06:39:34 GMT 2021","Wed Oct 13 06:39:37 GMT 2021","2062","","specs.sauce-labs/ui-presentation/login.page/all.elements.visible.test.ts","","","","Elements on the login page should be like on the ""golden"" screenshot",""
"passed","Wed Oct 13 06:39:20 GMT 2021","Wed Oct 13 06:39:23 GMT 2021","2949","","specs.sauce-labs/login/positive.cases/login.locked.user.test.ts","","","","appears message about locked user",""
"passed","Wed Oct 13 06:39:33 GMT 2021","Wed Oct 13 06:39:35 GMT 2021","2224","","specs.sauce-labs/ui-presentation/checkout.pages/step.two/all.labels.are.right.test.ts","Labels correspond to docs:","","","QTY and DESCRIPTION",""
"passed","Wed Oct 13 06:38:48 GMT 2021","Wed Oct 13 06:39:05 GMT 2021","16930","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Wed Oct 13 06:38:47 GMT 2021","Wed Oct 13 06:38:48 GMT 2021","1246","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Wed Oct 13 06:39:37 GMT 2021","Wed Oct 13 06:39:38 GMT 2021","1799","","specs.sauce-labs/ui-presentation/main.page/all.elements.visible.test.ts","","","","Elements on the main page should be like on the ""golden"" screenshot ",""
"passed","Wed Oct 13 06:39:28 GMT 2021","Wed Oct 13 06:39:32 GMT 2021","4694","","specs.sauce-labs/main.page/items.remain.aftet.logout.test.ts","","","","items remain in cart",""
"passed","Wed Oct 13 06:39:32 GMT 2021","Wed Oct 13 06:39:37 GMT 2021","5544","","specs.sauce-labs/main.page/items.remove.from.cart.test.ts","","","","items remove from cart",""
"passed","Wed Oct 13 06:38:50 GMT 2021","Wed Oct 13 06:38:51 GMT 2021","1008","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"failed","Wed Oct 13 06:39:11 GMT 2021","Wed Oct 13 06:39:12 GMT 2021","808","","specs.sauce-labs/checkout.pages/step.one/negative.cases/all.inputs.missed.test.ts","","","","Occurs an error when all input missed",""
"passed","Wed Oct 13 06:39:20 GMT 2021","Wed Oct 13 06:39:22 GMT 2021","2090","","specs.sauce-labs/login/negative.cases/username.missing.test.ts","","","","appears error when clicking on login with only password entered",""
"passed","Wed Oct 13 06:38:43 GMT 2021","Wed Oct 13 06:38:45 GMT 2021","1960","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
"passed","Wed Oct 13 06:38:46 GMT 2021","Wed Oct 13 06:38:47 GMT 2021","1330","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"passed","Wed Oct 13 06:39:19 GMT 2021","Wed Oct 13 06:39:20 GMT 2021","1554","","specs.sauce-labs/login/negative.cases/password.dosnt.match.username.test.ts","","","","appears error when clicking on login with username doesnt match password",""
"passed","Wed Oct 13 06:38:47 GMT 2021","Wed Oct 13 06:38:48 GMT 2021","1217","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Wed Oct 13 06:38:42 GMT 2021","Wed Oct 13 06:38:44 GMT 2021","2670","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Wed Oct 13 06:38:46 GMT 2021","Wed Oct 13 06:38:47 GMT 2021","1131","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Wed Oct 13 06:39:19 GMT 2021","Wed Oct 13 06:39:22 GMT 2021","2733","","specs.sauce-labs/login/negative.cases/password.missing.test.ts","","","","appears error when clicking on login with only username entered",""
"passed","Wed Oct 13 06:39:27 GMT 2021","Wed Oct 13 06:39:32 GMT 2021","4503","","specs.sauce-labs/main.page/filtration.on.price.to.low.test.ts","","","","prices are in order from high to low after filtration from high to low",""
"passed","Wed Oct 13 06:39:20 GMT 2021","Wed Oct 13 06:39:24 GMT 2021","3239","","specs.sauce-labs/login/negative.cases/unregistered.user.login.test.ts","","","","appears error when unregistered user clicking on login",""
