"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 30 11:08:47 GMT 2021","Thu Sep 30 11:08:49 GMT 2021","1809","","specs.sauce-labs/ui-presentation/login.page/all.elements.visible.test.ts","","","","Elements should be on page like on the ""golden"" screenshot",""
"passed","Thu Sep 30 11:08:23 GMT 2021","Thu Sep 30 11:08:24 GMT 2021","1343","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the button name is changing",""
"passed","Thu Sep 30 11:08:19 GMT 2021","Thu Sep 30 11:08:22 GMT 2021","2735","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Thu Sep 30 11:08:22 GMT 2021","Thu Sep 30 11:08:24 GMT 2021","1418","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Thu Sep 30 11:08:24 GMT 2021","Thu Sep 30 11:08:31 GMT 2021","6822","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Thu Sep 30 11:08:24 GMT 2021","Thu Sep 30 11:08:26 GMT 2021","1721","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Thu Sep 30 11:08:17 GMT 2021","Thu Sep 30 11:08:20 GMT 2021","2757","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Thu Sep 30 11:08:43 GMT 2021","Thu Sep 30 11:08:44 GMT 2021","1242","","specs.sauce-labs/login/negative.cases/all.inputs.missed.test.ts","","","","appears error when clicking on login without filling any input",""
"passed","Thu Sep 30 11:08:45 GMT 2021","Thu Sep 30 11:08:47 GMT 2021","1971","","specs.sauce-labs/login/negative.cases/username.missing.test.ts","","","","appears error when clicking on login with only password entered",""
"passed","Thu Sep 30 11:08:18 GMT 2021","Thu Sep 30 11:08:20 GMT 2021","2195","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"failed","Thu Sep 30 11:08:47 GMT 2021","Thu Sep 30 11:08:48 GMT 2021","1852","","specs.sauce-labs/login/positive.cases/login.standard.user.test.ts","","","","login as standard user if username and password is for standard",""
