"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 15 14:39:00 GMT 2023","Sun Jan 15 14:39:01 GMT 2023","1257","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Sun Jan 15 14:39:07 GMT 2023","Sun Jan 15 14:39:08 GMT 2023","1084","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Sun Jan 15 14:38:58 GMT 2023","Sun Jan 15 14:39:00 GMT 2023","1680","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Sun Jan 15 14:39:02 GMT 2023","Sun Jan 15 14:39:03 GMT 2023","898","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Sun Jan 15 14:39:05 GMT 2023","Sun Jan 15 14:39:06 GMT 2023","773","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Sun Jan 15 14:39:08 GMT 2023","Sun Jan 15 14:39:14 GMT 2023","6163","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Sun Jan 15 14:39:03 GMT 2023","Sun Jan 15 14:39:04 GMT 2023","869","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"failed","Sun Jan 15 14:39:07 GMT 2023","Sun Jan 15 14:39:08 GMT 2023","1246","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Sun Jan 15 14:39:02 GMT 2023","Sun Jan 15 14:39:03 GMT 2023","1002","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the addToCart name is changing",""
"passed","Sun Jan 15 14:39:04 GMT 2023","Sun Jan 15 14:39:05 GMT 2023","864","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Sun Jan 15 14:38:59 GMT 2023","Sun Jan 15 14:39:00 GMT 2023","1374","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Sun Jan 15 14:39:04 GMT 2023","Sun Jan 15 14:39:05 GMT 2023","804","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Sun Jan 15 14:39:01 GMT 2023","Sun Jan 15 14:39:02 GMT 2023","992","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Sun Jan 15 14:39:01 GMT 2023","Sun Jan 15 14:39:02 GMT 2023","966","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Sun Jan 15 14:39:03 GMT 2023","Sun Jan 15 14:39:04 GMT 2023","885","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"passed","Sun Jan 15 14:39:06 GMT 2023","Sun Jan 15 14:39:07 GMT 2023","809","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the addToCart name is changing",""
"passed","Sun Jan 15 14:39:00 GMT 2023","Sun Jan 15 14:39:01 GMT 2023","1351","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
"passed","Sun Jan 15 14:39:05 GMT 2023","Sun Jan 15 14:39:06 GMT 2023","786","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Sun Jan 15 14:39:06 GMT 2023","Sun Jan 15 14:39:07 GMT 2023","865","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
