"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 07 15:47:58 GMT 2021","Thu Oct 07 15:48:02 GMT 2021","3776","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Thu Oct 07 15:48:01 GMT 2021","Thu Oct 07 15:48:06 GMT 2021","5220","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Thu Oct 07 15:48:08 GMT 2021","Thu Oct 07 15:48:09 GMT 2021","1291","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Thu Oct 07 15:48:08 GMT 2021","Thu Oct 07 15:48:11 GMT 2021","2870","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"failed","Thu Oct 07 15:48:09 GMT 2021","Thu Oct 07 15:48:12 GMT 2021","3301","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Thu Oct 07 15:48:02 GMT 2021","Thu Oct 07 15:48:06 GMT 2021","4089","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Thu Oct 07 15:48:06 GMT 2021","Thu Oct 07 15:48:08 GMT 2021","1354","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"passed","Thu Oct 07 15:48:12 GMT 2021","Thu Oct 07 15:48:13 GMT 2021","769","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Thu Oct 07 15:48:09 GMT 2021","Thu Oct 07 15:48:12 GMT 2021","3087","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Thu Oct 07 15:48:08 GMT 2021","Thu Oct 07 15:48:09 GMT 2021","1272","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the addToCart name is changing",""
"broken","Thu Oct 07 15:48:09 GMT 2021","Thu Oct 07 15:48:41 GMT 2021","32150","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Thu Oct 07 15:48:03 GMT 2021","Thu Oct 07 15:48:06 GMT 2021","3699","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Thu Oct 07 15:48:06 GMT 2021","Thu Oct 07 15:48:08 GMT 2021","1328","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Thu Oct 07 15:48:08 GMT 2021","Thu Oct 07 15:48:09 GMT 2021","1272","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Thu Oct 07 15:48:03 GMT 2021","Thu Oct 07 15:48:06 GMT 2021","3786","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the addToCart name is changing",""
"passed","Thu Oct 07 15:48:06 GMT 2021","Thu Oct 07 15:48:08 GMT 2021","1352","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Thu Oct 07 15:48:06 GMT 2021","Thu Oct 07 15:48:08 GMT 2021","1362","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Thu Oct 07 15:47:59 GMT 2021","Thu Oct 07 15:48:03 GMT 2021","3609","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
"passed","Thu Oct 07 15:47:58 GMT 2021","Thu Oct 07 15:48:03 GMT 2021","4437","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
