"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 14 23:22:56 GMT 2023","Sat Jan 14 23:22:57 GMT 2023","1084","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Sat Jan 14 23:23:02 GMT 2023","Sat Jan 14 23:23:08 GMT 2023","5600","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Sat Jan 14 23:22:58 GMT 2023","Sat Jan 14 23:22:58 GMT 2023","621","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Sat Jan 14 23:22:59 GMT 2023","Sat Jan 14 23:22:59 GMT 2023","605","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:23:01 GMT 2023","Sat Jan 14 23:23:02 GMT 2023","549","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Sat Jan 14 23:22:59 GMT 2023","Sat Jan 14 23:22:59 GMT 2023","566","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"failed","Sat Jan 14 23:23:02 GMT 2023","Sat Jan 14 23:23:03 GMT 2023","865","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Sat Jan 14 23:22:56 GMT 2023","Sat Jan 14 23:22:58 GMT 2023","1246","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Sat Jan 14 23:22:59 GMT 2023","Sat Jan 14 23:23:00 GMT 2023","530","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Sat Jan 14 23:22:58 GMT 2023","Sat Jan 14 23:22:59 GMT 2023","538","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Sat Jan 14 23:23:02 GMT 2023","Sat Jan 14 23:23:02 GMT 2023","752","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Sat Jan 14 23:22:59 GMT 2023","Sat Jan 14 23:23:00 GMT 2023","628","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"passed","Sat Jan 14 23:23:01 GMT 2023","Sat Jan 14 23:23:02 GMT 2023","481","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:22:58 GMT 2023","Sat Jan 14 23:22:59 GMT 2023","659","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Sat Jan 14 23:23:00 GMT 2023","Sat Jan 14 23:23:01 GMT 2023","532","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Sat Jan 14 23:23:00 GMT 2023","Sat Jan 14 23:23:01 GMT 2023","571","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Sat Jan 14 23:23:01 GMT 2023","Sat Jan 14 23:23:01 GMT 2023","445","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Sat Jan 14 23:23:01 GMT 2023","Sat Jan 14 23:23:01 GMT 2023","549","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Sat Jan 14 23:22:57 GMT 2023","Sat Jan 14 23:22:58 GMT 2023","842","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
