"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 30 12:15:46 GMT 2021","Thu Sep 30 12:16:03 GMT 2021","17084","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Thu Sep 30 12:16:06 GMT 2021","Thu Sep 30 12:16:08 GMT 2021","1679","","specs.sauce-labs/login/negative.cases/username.doesnt.match.password.test.ts","","","","appears error when clicking on login with username doesnt match password",""
"passed","Thu Sep 30 12:15:46 GMT 2021","Thu Sep 30 12:15:48 GMT 2021","1923","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Thu Sep 30 12:16:06 GMT 2021","Thu Sep 30 12:16:09 GMT 2021","2994","","specs.sauce-labs/login/negative.cases/unregistered.user.login.test.ts","","","","appears error when unregistered user clicking on login",""
"passed","Thu Sep 30 12:15:45 GMT 2021","Thu Sep 30 12:15:46 GMT 2021","1242","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Thu Sep 30 12:16:08 GMT 2021","Thu Sep 30 12:16:09 GMT 2021","1514","","specs.sauce-labs/ui-presentation/login.page/all.elements.visible.test.ts","","","","Elements should be on page like on the ""golden"" screenshot",""
"passed","Thu Sep 30 12:15:46 GMT 2021","Thu Sep 30 12:15:53 GMT 2021","6647","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Thu Sep 30 12:15:37 GMT 2021","Thu Sep 30 12:15:43 GMT 2021","6018","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
"failed","Thu Sep 30 12:16:08 GMT 2021","Thu Sep 30 12:16:09 GMT 2021","1400","","specs.sauce-labs/login/positive.cases/login.standard.user.test.ts","","","","login as standard user if username and password is for standard",""
"passed","Thu Sep 30 12:15:46 GMT 2021","Thu Sep 30 12:15:46 GMT 2021","944","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the button name is changing",""
"passed","Thu Sep 30 12:15:48 GMT 2021","Thu Sep 30 12:15:48 GMT 2021","837","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Thu Sep 30 12:16:05 GMT 2021","Thu Sep 30 12:16:08 GMT 2021","2333","","specs.sauce-labs/login/negative.cases/password.missing.test.ts","","","","appears error when clicking on login with only username entered",""
"passed","Thu Sep 30 12:15:45 GMT 2021","Thu Sep 30 12:15:47 GMT 2021","1151","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Thu Sep 30 12:16:10 GMT 2021","Thu Sep 30 12:16:10 GMT 2021","660","","specs.sauce-labs/ui-presentation/login.page/login.button.enabled.test.ts","","","","login button is enabled",""
"passed","Thu Sep 30 12:16:04 GMT 2021","Thu Sep 30 12:16:06 GMT 2021","1184","","specs.sauce-labs/login/negative.cases/all.inputs.missed.test.ts","","","","appears error when clicking on login without filling any input",""
"passed","Thu Sep 30 12:15:43 GMT 2021","Thu Sep 30 12:15:45 GMT 2021","1525","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the button",""
"failed","Thu Sep 30 12:16:10 GMT 2021","Thu Sep 30 12:16:11 GMT 2021","1639","","specs.sauce-labs/ui-presentation/main.page/all.elements.visible.test.ts","","","","Elements on the main page should be like on the ""golden"" screenshot",""
"passed","Thu Sep 30 12:15:37 GMT 2021","Thu Sep 30 12:15:43 GMT 2021","6271","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Thu Sep 30 12:16:05 GMT 2021","Thu Sep 30 12:16:06 GMT 2021","1487","","specs.sauce-labs/login/negative.cases/password.dosnt.match.username.test.ts","","","","appears error when clicking on login with username doesnt match password",""
"passed","Thu Sep 30 12:15:43 GMT 2021","Thu Sep 30 12:15:44 GMT 2021","1436","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Thu Sep 30 12:15:45 GMT 2021","Thu Sep 30 12:15:46 GMT 2021","986","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"failed","Thu Sep 30 12:16:08 GMT 2021","Thu Sep 30 12:16:09 GMT 2021","1391","","specs.sauce-labs/login/positive.cases/login.locked.user.test.ts","","","","appears message about locked user",""
"passed","Thu Sep 30 12:15:37 GMT 2021","Thu Sep 30 12:15:43 GMT 2021","5542","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Thu Sep 30 12:15:43 GMT 2021","Thu Sep 30 12:15:45 GMT 2021","1598","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the button name is changing",""
"passed","Thu Sep 30 12:15:47 GMT 2021","Thu Sep 30 12:15:48 GMT 2021","998","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
