"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 30 01:27:14 GMT 2021","Thu Sep 30 01:27:16 GMT 2021","2037","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the button name is changing",""
"passed","Thu Sep 30 01:27:13 GMT 2021","Thu Sep 30 01:27:15 GMT 2021","2314","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Thu Sep 30 01:27:40 GMT 2021","Thu Sep 30 01:27:44 GMT 2021","3840","","specs.sauce-labs/login/negative.cases/unregistered.user.login.test.ts","","","","appears error when unregistered user clicking on login",""
"passed","Thu Sep 30 01:27:13 GMT 2021","Thu Sep 30 01:27:16 GMT 2021","2973","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Thu Sep 30 01:27:42 GMT 2021","Thu Sep 30 01:27:47 GMT 2021","4485","","specs.sauce-labs/login/positive.cases/login.standard.user.test.ts","","","","login as standard user if username and password is for standard",""
"passed","Thu Sep 30 01:27:16 GMT 2021","Thu Sep 30 01:27:18 GMT 2021","1920","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Thu Sep 30 01:27:13 GMT 2021","Thu Sep 30 01:27:15 GMT 2021","1617","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Thu Sep 30 01:27:15 GMT 2021","Thu Sep 30 01:27:16 GMT 2021","1589","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Thu Sep 30 01:27:40 GMT 2021","Thu Sep 30 01:27:42 GMT 2021","2540","","specs.sauce-labs/login/negative.cases/username.doesnt.match.password.test.ts","","","","appears error when clicking on login with username doesnt match password",""
"passed","Thu Sep 30 01:27:18 GMT 2021","Thu Sep 30 01:27:20 GMT 2021","1816","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Thu Sep 30 01:27:10 GMT 2021","Thu Sep 30 01:27:13 GMT 2021","2718","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Thu Sep 30 01:27:40 GMT 2021","Thu Sep 30 01:27:43 GMT 2021","3254","","specs.sauce-labs/login/negative.cases/username.missing.test.ts","","","","appears error when clicking on login with only password entered",""
"passed","Thu Sep 30 01:27:20 GMT 2021","Thu Sep 30 01:27:26 GMT 2021","6430","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Thu Sep 30 01:27:19 GMT 2021","Thu Sep 30 01:27:21 GMT 2021","1407","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Thu Sep 30 01:27:39 GMT 2021","Thu Sep 30 01:27:42 GMT 2021","2700","","specs.sauce-labs/login/negative.cases/password.missing.test.ts","","","","appears error when clicking on login with only username entered",""
"passed","Thu Sep 30 01:27:11 GMT 2021","Thu Sep 30 01:27:13 GMT 2021","2189","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Thu Sep 30 01:27:46 GMT 2021","Thu Sep 30 01:27:48 GMT 2021","2180","","specs.sauce-labs/login/ui-presentation/main.page/all.elements.visible.test.ts","","","","Elements on the main page should be like on the ""golden"" screenshot",""
"passed","Thu Sep 30 01:27:43 GMT 2021","Thu Sep 30 01:27:46 GMT 2021","2592","","specs.sauce-labs/login/ui-presentation/login.page/all.elements.visible.test.ts","","","","Elements should be on page like on the ""golden"" screenshot",""
"passed","Thu Sep 30 01:27:42 GMT 2021","Thu Sep 30 01:27:44 GMT 2021","2811","","specs.sauce-labs/login/positive.cases/login.locked.user.test.ts","","","","appears message about locked user",""
"passed","Thu Sep 30 01:27:38 GMT 2021","Thu Sep 30 01:27:40 GMT 2021","2036","","specs.sauce-labs/login/negative.cases/password.dosnt.match.username.test.ts","","","","appears error when clicking on login with username doesnt match password",""
"passed","Thu Sep 30 01:27:37 GMT 2021","Thu Sep 30 01:27:39 GMT 2021","1825","","specs.sauce-labs/login/negative.cases/all.inputs.missed.test.ts","","","","appears error when clicking on login without filling any input",""
"passed","Thu Sep 30 01:27:16 GMT 2021","Thu Sep 30 01:27:18 GMT 2021","1626","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Thu Sep 30 01:27:18 GMT 2021","Thu Sep 30 01:27:20 GMT 2021","1890","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the button name is changing",""
"passed","Thu Sep 30 01:27:44 GMT 2021","Thu Sep 30 01:27:46 GMT 2021","2143","","specs.sauce-labs/login/ui-presentation/login.page/input.fields.editable.test.ts","","","","input fields are editable",""
"passed","Thu Sep 30 01:27:15 GMT 2021","Thu Sep 30 01:27:17 GMT 2021","1358","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the button",""
"passed","Thu Sep 30 01:27:44 GMT 2021","Thu Sep 30 01:27:46 GMT 2021","1664","","specs.sauce-labs/login/ui-presentation/login.page/login.button.enabled.test.ts","","","","login button is enabled",""
"passed","Thu Sep 30 01:27:17 GMT 2021","Thu Sep 30 01:27:18 GMT 2021","1385","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Thu Sep 30 01:27:18 GMT 2021","Thu Sep 30 01:27:19 GMT 2021","1586","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Thu Sep 30 01:27:18 GMT 2021","Thu Sep 30 01:27:35 GMT 2021","16985","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Thu Sep 30 01:27:16 GMT 2021","Thu Sep 30 01:27:18 GMT 2021","1740","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Thu Sep 30 01:27:12 GMT 2021","Thu Sep 30 01:27:14 GMT 2021","2704","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
