"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 14 23:39:01 GMT 2023","Sat Jan 14 23:39:02 GMT 2023","586","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:39:00 GMT 2023","Sat Jan 14 23:39:01 GMT 2023","1500","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Sat Jan 14 23:38:59 GMT 2023","Sat Jan 14 23:39:00 GMT 2023","614","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Sat Jan 14 23:39:01 GMT 2023","Sat Jan 14 23:39:02 GMT 2023","649","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"failed","Sat Jan 14 23:39:02 GMT 2023","Sat Jan 14 23:39:03 GMT 2023","1027","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Sat Jan 14 23:38:55 GMT 2023","Sat Jan 14 23:38:57 GMT 2023","1281","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Sat Jan 14 23:39:02 GMT 2023","Sat Jan 14 23:39:02 GMT 2023","773","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Sat Jan 14 23:38:57 GMT 2023","Sat Jan 14 23:38:58 GMT 2023","832","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Sat Jan 14 23:39:00 GMT 2023","Sat Jan 14 23:39:00 GMT 2023","529","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Sat Jan 14 23:39:00 GMT 2023","Sat Jan 14 23:39:01 GMT 2023","420","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Sat Jan 14 23:38:58 GMT 2023","Sat Jan 14 23:38:59 GMT 2023","686","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:38:57 GMT 2023","Sat Jan 14 23:38:58 GMT 2023","718","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Sat Jan 14 23:38:56 GMT 2023","Sat Jan 14 23:38:57 GMT 2023","1162","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Sat Jan 14 23:39:02 GMT 2023","Sat Jan 14 23:39:08 GMT 2023","5844","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Sat Jan 14 23:38:58 GMT 2023","Sat Jan 14 23:38:59 GMT 2023","692","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Sat Jan 14 23:38:58 GMT 2023","Sat Jan 14 23:38:58 GMT 2023","619","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Sat Jan 14 23:39:01 GMT 2023","Sat Jan 14 23:39:01 GMT 2023","668","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Sat Jan 14 23:38:59 GMT 2023","Sat Jan 14 23:39:00 GMT 2023","743","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"passed","Sat Jan 14 23:38:57 GMT 2023","Sat Jan 14 23:38:57 GMT 2023","823","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
